GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34041031800,Warren,2515,93478.0,3.19,15.61,2.39,23.42,0.0,1.83,0.32,94.63,3.18,9.9
34041031900,Warren,6597,131250.0,5.25,10.95,4.74,20.8,1.6,7.32,6.49,77.22,6.64,9.9
34041032000,Warren,7287,79280.0,11.51,28.39,3.79,13.83,1.87,15.47,4.49,72.46,1.78,13.1
34041032101,Warren,2984,126250.0,7.21,13.4,3.18,16.92,2.24,8.28,1.04,81.53,5.03,9.9
34041032102,Warren,5481,172417.0,2.35,5.89,2.61,10.11,0.85,8.17,7.02,71.37,8.94,5.0
34041032200,Warren,9131,88388.0,10.41,17.13,1.73,23.61,4.49,12.05,11.23,68.88,5.8,13.5
34041032300,Warren,3258,112981.0,7.52,14.98,8.41,20.17,0.0,9.88,2.18,85.6,0.34,11.3
34041032400,Warren,2249,83125.0,6.97,16.94,3.53,20.32,0.51,8.58,1.42,82.39,1.51,10.8
34019010100,Hunterdon,5883,188500.0,2.01,7.06,1.26,28.61,0.0,6.41,6.8,81.9,2.77,9.0
34019010201,Hunterdon,2972,130566.0,8.36,9.58,0.85,20.42,0.0,8.41,0.91,86.91,0.0,8.9
34019010202,Hunterdon,4306,136192.0,6.07,8.95,1.58,17.23,0.11,5.62,2.37,89.5,1.49,7.7
34019010300,Hunterdon,2829,89241.0,7.5,17.38,6.01,15.84,2.04,15.27,1.2,77.52,2.47,11.0
34019010400,Hunterdon,4558,136336.0,5.0,14.24,2.41,14.94,0.0,8.03,0.77,86.92,1.25,8.1
34019010500,Hunterdon,5184,127644.0,3.45,7.33,1.29,19.25,0.58,1.02,0.95,94.79,0.0,7.3
34019010600,Hunterdon,6121,139872.0,5.95,9.68,1.05,25.18,0.17,3.02,4.71,88.53,1.37,9.6
34019010701,Hunterdon,6402,124922.0,5.64,12.29,1.06,18.34,1.8,5.06,4.05,81.32,7.19,9.0
34019010702,Hunterdon,3270,155766.0,1.38,7.43,3.17,19.36,1.13,6.06,0.0,88.26,0.31,7.5
34019010801,Hunterdon,2784,142563.0,2.3,12.64,4.11,13.04,2.48,10.02,0.68,76.08,8.55,7.9
34019010802,Hunterdon,1664,108672.0,5.05,20.32,4.39,22.36,1.15,5.11,0.48,90.81,2.04,11.9
34019010900,Hunterdon,3584,116424.0,3.79,11.13,6.14,11.86,0.0,12.64,2.06,73.16,10.07,7.2
34019011001,Hunterdon,6845,181019.0,1.55,7.03,2.77,13.19,0.52,8.34,8.44,71.91,6.98,5.7
34019011003,Hunterdon,4838,144464.0,3.53,7.38,2.03,22.86,1.24,9.05,2.25,77.26,5.81,8.6
34019011004,Hunterdon,1664,140578.0,3.25,11.06,4.12,24.88,3.34,1.08,0.06,93.09,1.02,11.0
34019011100,Hunterdon,5764,109006.0,3.96,19.97,2.32,33.07,0.41,7.46,0.12,80.33,7.88,13.4
34019011202,Hunterdon,3517,132708.0,3.7,15.47,8.16,19.56,0.0,12.88,3.04,75.49,1.73,10.3
34019011203,Hunterdon,4500,193250.0,1.49,1.87,0.18,21.89,0.0,12.0,1.62,83.98,1.78,6.0
34019011204,Hunterdon,2432,210571.0,0.86,3.12,1.23,20.35,1.22,14.47,0.08,78.08,4.65,6.4
34019011301,Hunterdon,7658,193125.0,2.54,6.24,0.99,20.5,0.95,10.33,1.92,76.26,7.04,7.3
34019011303,Hunterdon,4985,109548.0,4.41,9.79,4.21,18.34,0.87,13.36,1.85,74.12,9.07,8.5
34019011304,Hunterdon,3260,184922.0,0.86,6.18,1.23,15.34,0.0,6.38,1.26,78.07,11.81,5.4
34019011305,Hunterdon,3404,144554.0,3.08,5.43,1.15,14.13,1.63,11.13,3.73,70.21,13.9,6.0
34019011306,Hunterdon,4650,176813.0,3.34,8.06,4.11,11.55,0.0,4.56,2.56,80.19,6.65,6.0
34019011400,Hunterdon,4887,74213.0,11.93,23.99,11.74,12.44,19.05,32.04,5.44,54.82,5.28,19.8
34019011500,Hunterdon,5430,137672.0,4.1,15.75,2.6,22.25,0.09,6.1,0.24,84.48,3.2,10.0
34019011600,Hunterdon,4984,157056.0,2.77,5.2,2.71,27.63,0.73,5.92,0.0,91.03,0.44,9.1
34019011700,Hunterdon,3922,139191.0,1.58,6.33,3.88,21.88,0.0,10.91,0.08,86.79,0.61,7.6
34019011800,Hunterdon,3010,144293.0,2.62,8.8,4.82,20.43,0.0,2.26,2.76,90.9,1.16,8.2
34019011900,Hunterdon,4141,106236.0,2.63,13.55,1.06,29.97,2.75,11.13,0.48,86.45,1.3,11.7
34035050100,Somerset,2894,87043.0,7.21,23.71,5.27,24.29,14.6,22.94,6.91,59.12,6.29,18.6
34035050200,Somerset,3047,91897.0,3.09,11.56,7.42,5.02,0.0,13.72,24.81,35.87,18.81,5.7
34035050300,Somerset,3410,129479.0,2.61,7.34,1.88,13.7,0.8,13.17,1.09,69.12,15.28,6.0
